Indicateur;Secteur;Année;Valeur;Unité
Valeur ajoutée par branche d'activité;Information et communication;2015;29.784935;millions de DH
Valeur ajoutée par branche d'activité;Information et communication;2016;30.182309;millions de DH
Valeur ajoutée par branche d'activité;Information et communication;2017;29.218727;millions de DH
Valeur ajoutée par branche d'activité;Information et communication;2018;30.046018;millions de DH
Valeur ajoutée par branche d'activité;Information et communication;2019;25.433449;millions de DH
Valeur ajoutée par branche d'activité;Information et communication;2020;27.38993;millions de DH
Valeur ajoutée par branche d'activité;Information et communication;2021;25;millions de DH
Valeur ajoutée par branche d'activité;Information et communication;2022;27.826173;millions de DH
Valeur ajoutée par branche d'activité;Information et communication;2023;30.199753;millions de DH
Valeur ajoutée par branche d'activité;Activités financières et d'assurances;2014;88.3168;millions de DH
Valeur ajoutée par branche d'activité;Activités financières et d'assurances;2015;73.91915;millions de DH
Valeur ajoutée par branche d'activité;Activités financières et d'assurances;2016;57.177852;millions de DH
Valeur ajoutée par branche d'activité;Activités financières et d'assurances;2017;60.894618;millions de DH
Valeur ajoutée par branche d'activité;Activités financières et d'assurances;2018;64.029234;millions de DH
Valeur ajoutée par branche d'activité;Activités financières et d'assurances;2019;64.253397;millions de DH
Valeur ajoutée par branche d'activité;Activités financières et d'assurances;2020;73.899984;millions de DH
Valeur ajoutée par branche d'activité;Activités financières et d'assurances;2021;82;millions de DH
Valeur ajoutée par branche d'activité;Activités financières et d'assurances;2022;100.486927;millions de DH
Valeur ajoutée par branche d'activité;Activités financières et d'assurances;2023;111.012902;millions de DH
Valeur ajoutée par branche d'activité;Activités immobilières;2014;881.905418;millions de DH
Valeur ajoutée par branche d'activité;Activités immobilières;2015;1004.445622;millions de DH
Valeur ajoutée par branche d'activité;Activités immobilières;2016;952.295639;millions de DH
Valeur ajoutée par branche d'activité;Activités immobilières;2017;1083.062352;millions de DH
Valeur ajoutée par branche d'activité;Activités immobilières;2018;1160.42918;millions de DH
Valeur ajoutée par branche d'activité;Activités immobilières;2019;1246.395717;millions de DH
Valeur ajoutée par branche d'activité;Activités immobilières;2020;1242.428537;millions de DH
Valeur ajoutée par branche d'activité;Activités immobilières;2021;1283;millions de DH
Valeur ajoutée par branche d'activité;Activités immobilières;2022;1319.091923;millions de DH
Valeur ajoutée par branche d'activité;Activités immobilières;2023;1385.461139;millions de DH
Valeur ajoutée par branche d'activité;Recherches et développement et services rendus aux entreprises;2014;538.777284;millions de DH
Valeur ajoutée par branche d'activité;Recherches et développement et services rendus aux entreprises;2015;617.826285;millions de DH
Valeur ajoutée par branche d'activité;Recherches et développement et services rendus aux entreprises;2016;713.333637;millions de DH
Valeur ajoutée par branche d'activité;Recherches et développement et services rendus aux entreprises;2017;777.445258;millions de DH
Valeur ajoutée par branche d'activité;Recherches et développement et services rendus aux entreprises;2018;851.771771;millions de DH
Valeur ajoutée par branche d'activité;Recherches et développement et services rendus aux entreprises;2019;941.657086;millions de DH
Valeur ajoutée par branche d'activité;Recherches et développement et services rendus aux entreprises;2020;889.804944;millions de DH
Valeur ajoutée par branche d'activité;Recherches et développement et services rendus aux entreprises;2021;984;millions de DH
Valeur ajoutée par branche d'activité;Recherches et développement et services rendus aux entreprises;2022;1129.568717;millions de DH
Valeur ajoutée par branche d'activité;Recherches et développement et services rendus aux entreprises;2023;1245.883239;millions de DH
Valeur ajoutée par branche d'activité;"Administration publique; sécurité sociale obligatoire";2014;4643.180661;millions de DH
Valeur ajoutée par branche d'activité;"Administration publique; sécurité sociale obligatoire";2015;4834.379656;millions de DH
Valeur ajoutée par branche d'activité;"Administration publique; sécurité sociale obligatoire";2016;5225.544846;millions de DH
Valeur ajoutée par branche d'activité;"Administration publique; sécurité sociale obligatoire";2017;5541.666469;millions de DH
Valeur ajoutée par branche d'activité;"Administration publique; sécurité sociale obligatoire";2018;5867.388736;millions de DH
Valeur ajoutée par branche d'activité;"Administration publique; sécurité sociale obligatoire";2019;6257.508094;millions de DH
Valeur ajoutée par branche d'activité;"Administration publique; sécurité sociale obligatoire";2020;6588.820307;millions de DH
Valeur ajoutée par branche d'activité;"Administration publique; sécurité sociale obligatoire";2021;6958;millions de DH
Valeur ajoutée par branche d'activité;"Administration publique; sécurité sociale obligatoire";2022;7337.84382;millions de DH
Valeur ajoutée par branche d'activité;"Administration publique; sécurité sociale obligatoire";2023;7601.150075;millions de DH
Valeur ajoutée par branche d'activité;Enseignement  Santé humaine et action sociale;2014;1020.020387;millions de DH
Valeur ajoutée par branche d'activité;Enseignement  Santé humaine et action sociale;2015;1235.27886;millions de DH
Valeur ajoutée par branche d'activité;Enseignement  Santé humaine et action sociale;2016;1635.224488;millions de DH
Valeur ajoutée par branche d'activité;Enseignement  Santé humaine et action sociale;2017;1873.883645;millions de DH
Valeur ajoutée par branche d'activité;Enseignement  Santé humaine et action sociale;2018;2000.340409;millions de DH
Valeur ajoutée par branche d'activité;Enseignement  Santé humaine et action sociale;2019;2039.513642;millions de DH
Valeur ajoutée par branche d'activité;Enseignement  Santé humaine et action sociale;2020;2345.264011;millions de DH
Valeur ajoutée par branche d'activité;Enseignement  Santé humaine et action sociale;2021;2451;millions de DH
Valeur ajoutée par branche d'activité;Enseignement  Santé humaine et action sociale;2022;2516.198265;millions de DH
Valeur ajoutée par branche d'activité;Enseignement  Santé humaine et action sociale;2023;2668.31632;millions de DH
Valeur ajoutée par branche d'activité;Autres services;2014;195.511861;millions de DH
Valeur ajoutée par branche d'activité;Autres services;2015;208.87388;millions de DH
Valeur ajoutée par branche d'activité;Autres services;2016;217.413071;millions de DH
Valeur ajoutée par branche d'activité;Autres services;2017;223.439861;millions de DH
Valeur ajoutée par branche d'activité;Autres services;2018;229.767978;millions de DH
Valeur ajoutée par branche d'activité;Autres services;2019;232.672952;millions de DH
Valeur ajoutée par branche d'activité;Autres services;2020;187.740613;millions de DH
Valeur ajoutée par branche d'activité;Autres services;2021;197;millions de DH
Valeur ajoutée par branche d'activité;Autres services;2022;216.811631;millions de DH
Valeur ajoutée par branche d'activité;Autres services;2023;224.551427;millions de DH
Valeur ajoutée par branche d'activité;Total Valeur ajoutée au prix de base;2014;11372.398275;millions de DH
Valeur ajoutée par branche d'activité;Total Valeur ajoutée au prix de base;2015;12492.500118;millions de DH
Valeur ajoutée par branche d'activité;Total Valeur ajoutée au prix de base;2016;13575.019453;millions de DH
Valeur ajoutée par branche d'activité;Total Valeur ajoutée au prix de base;2017;14556.295822;millions de DH
Valeur ajoutée par branche d'activité;Total Valeur ajoutée au prix de base;2018;15268.200537;millions de DH
Valeur ajoutée par branche d'activité;Total Valeur ajoutée au prix de base;2019;16321.859984;millions de DH
Valeur ajoutée par branche d'activité;Total Valeur ajoutée au prix de base;2020;16890.808256;millions de DH
Valeur ajoutée par branche d'activité;Total Valeur ajoutée au prix de base;2021;17963;millions de DH
Valeur ajoutée par branche d'activité;Total Valeur ajoutée au prix de base;2022;18788.229241;millions de DH
Valeur ajoutée par branche d'activité;Total Valeur ajoutée au prix de base;2023;19762.039035;millions de DH
Valeur ajoutée par branche d'activité;Impôts sur les produits nets de subventions;2014;766.420185;millions de DH
Valeur ajoutée par branche d'activité;Impôts sur les produits nets de subventions;2015;975.935447;millions de DH
Valeur ajoutée par branche d'activité;Impôts sur les produits nets de subventions;2016;1045.738391;millions de DH
Valeur ajoutée par branche d'activité;Impôts sur les produits nets de subventions;2017;1076.749149;millions de DH
