Indicateur;Région;Année;Valeur;Unité
Croissance du PIB régional;Guelmim-Oued Noun;2015;7.757848;%
Croissance du PIB régional;Guelmim-Oued Noun;2016;6.708188;%
Croissance du PIB régional;Guelmim-Oued Noun;2017;9.166089;%
Croissance du PIB régional;Guelmim-Oued Noun;2018;3.896488;%
Croissance du PIB régional;Guelmim-Oued Noun;2019;6.469827;%
Croissance du PIB régional;Guelmim-Oued Noun;2020;4.871072;%
Croissance du PIB régional;Guelmim-Oued Noun;2021;4.225693;%
Croissance du PIB régional;Guelmim-Oued Noun;2022;1.385925;%
Croissance du PIB régional;Guelmim-Oued Noun;2023;1.172786;%
